Unnamed: 0,Time in ms,M0 in meter,MF231 in A
600,30.0,0.00082170068359375,0.1
601,30.05,0.0008234804687500001,0.1
602,30.1,0.0008252509765625001,0.1
603,30.15,0.0008270126953125001,0.1
604,30.2,0.0008287646484375,0.1
605,30.25,0.0008305068359375001,0.1
606,30.3,0.0008322397460937501,0.1
607,30.35,0.0008339633789062501,0.1
608,30.4,0.0008356772460937501,0.1
609,30.45,0.0008373813476562501,0.1
610,30.5,0.0008390756835937501,0.1
611,30.55,0.00084076025390625,0.1
612,30.6,0.0008424350585937501,0.1
613,30.65,0.0008440996093750001,0.1
614,30.7,0.0008457543945312501,0.1
615,30.75,0.0008473989257812501,0.1
616,30.8,0.0008490336914062501,0.1
617,30.85,0.0008506582031250001,0.1
618,30.9,0.0008522729492187501,0.1
619,30.95,0.0008538769531250001,0.1
620,31.0,0.0008554711914062501,0.1
621,31.05,0.0008570551757812501,0.1
622,31.1,0.0008586289062500001,0.1
623,31.15,0.0008601923828125001,0.1
624,31.2,0.0008617456054687501,0.1
625,31.25,0.0008632885742187501,0.1
626,31.3,0.0008648212890625001,0.1
627,31.35,0.0008663437500000001,0.1
628,31.4,0.0008678559570312501,0.1
629,31.45,0.0008693579101562501,0.1
630,31.5,0.0008708500976562501,0.1
631,31.55,0.0008723315429687501,0.1
632,31.6,0.0008738032226562501,0.1
633,31.65,0.0008752641601562501,0.1
634,31.7,0.0008767153320312501,0.1
635,31.75,0.0008781562500000001,0.1
636,31.8,0.0008795864257812501,0.1
637,31.85,0.0008810068359375001,0.1
638,31.9,0.0008824174804687502,0.1
639,31.95,0.0008838173828125002,0.1
640,32.0,0.0008852070312500001,0.1
641,32.05,0.0008865869140625002,0.1
642,32.1,0.0008879560546875002,0.1
643,32.15,0.0008893154296875002,0.1
644,32.2,0.0008906645507812502,0.1
645,32.25,0.0008920034179687502,0.1
646,32.3,0.0008933320312500002,0.1
647,32.35,0.0008946508789062502,0.1
648,32.4,0.0008959594726562502,0.1
649,32.45,0.0008972573242187502,0.1
650,32.5,0.00089854541015625,0.1
651,32.55,0.0008998232421875002,0.1
652,32.6,0.00090109130859375,0.1
653,32.65,0.0009023486328125,0.1
654,32.7,0.00090359619140625,0.1
655,32.75,0.00090483349609375,0.1
656,32.8,0.000906060546875,0.1
657,32.85,0.00090727783203125,0.1
658,32.9,0.00090848486328125,0.1
659,32.95,0.000909681640625,0.1
660,33.0,0.00091086865234375,0.1
661,33.05,0.00091204541015625,0.1
662,33.1,0.0009132119140625,0.1
663,33.15,0.00091436865234375,0.1
664,33.2,0.00091551513671875,0.1
665,33.25,0.00091665185546875,0.1
666,33.3,0.00091777880859375,0.1
667,33.35,0.0009188955078125,0.1
668,33.4,0.0009200024414062502,0.1
669,33.45,0.000921099609375,0.1
670,33.5,0.00092218701171875,0.1
671,33.55,0.0009232641601562502,0.1
672,33.6,0.00092433203125,0.1
673,33.65,0.0009253896484375,0.1
674,33.7,0.00092643798828125,0.1
675,33.75,0.00092747607421875,0.1
676,33.8,0.0009285048828125,0.1
677,33.85,0.00092952392578125,0.1
678,33.9,0.000930533203125,0.1
679,33.95,0.00093153271484375,0.1
680,34.0,0.00093252294921875,0.1
681,34.05,0.00093350341796875,0.1
682,34.1,0.000934474609375,0.1
683,34.15,0.00093543603515625,0.1
684,34.2,0.0009363876953125,0.1
685,34.25,0.000937330078125,0.1
686,34.3,0.00093826318359375,0.1
687,34.35,0.00093918701171875,0.1
688,34.4,0.00094010107421875,0.1
689,34.45,0.000941005859375,0.1
690,34.5,0.0009419013671875,0.1
691,34.55,0.00094278759765625,0.1
692,34.6,0.00094366455078125,0.1
693,34.65,0.0009445322265625,0.1
694,34.7,0.00094539111328125,0.1
695,34.75,0.000946240234375,0.1
696,34.8,0.00094708056640625,0.1
697,34.85,0.000947912109375,0.1
698,34.9,0.000948734375,0.1
699,34.95,0.0009495478515625,0.1
700,35.0,0.0009503525390625002,0.1
701,35.05,0.00095114794921875,0.1
702,35.1,0.00095193505859375,0.1
